[26.04.2017 | 05:07:29] PlayerDistToCar: 38.9 | TickCount: 62 | PlayerLevel: 22 | Name: Nikita_Caypen | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[26.04.2017 | 09:48:02] PlayerDistToCar: 245.0 | TickCount: 596 | PlayerLevel: 1 | Name: Jocker_William | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[26.04.2017 | 10:50:40] PlayerDistToCar: 251.6 | TickCount: 47 | PlayerLevel: 1 | Name: Baba_Katya | 0.0 -0.0 0.0 | veh -0.1 -0.0 -0.0
[26.04.2017 | 15:09:04] PlayerDistToCar: 89.7 | TickCount: 411 | PlayerLevel: 1 | Name: Dima_Lavazzy | 0.0 0.0 0.0 | veh 0.2 -1.2 -0.0
[26.04.2017 | 16:35:14] PlayerDistToCar: 24.9 | TickCount: 105 | PlayerLevel: 1 | Name: Joni_CasteIlano | 0.0 0.0 0.0 | veh -0.0 -0.0 0.0
[26.04.2017 | 19:21:33] PlayerDistToCar: 201.1 | TickCount: 494 | PlayerLevel: 1 | Name: Nestro_Ross | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[26.04.2017 | 19:47:30] PlayerDistToCar: 144.0 | TickCount: 423 | PlayerLevel: 1 | Name: Dima_Lavazzez | 0.0 0.0 0.0 | veh -0.0 1.2 -0.0
[26.04.2017 | 20:11:03] PlayerDistToCar: 24.9 | TickCount: 852 | PlayerLevel: 1 | Name: Yuriy_Polykov | -0.0 0.0 0.0 | veh -0.0 -0.0 0.0
[27.04.2017 | 05:23:47] PlayerDistToCar: 81.4 | TickCount: 98 | PlayerLevel: 1 | Name: Irochka_Wolf | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[27.04.2017 | 11:55:16] PlayerDistToCar: 31.3 | TickCount: 329 | PlayerLevel: 1 | Name: Dima_Bolshov | 0.0 0.0 0.0 | veh -0.0 -0.0 0.0
[27.04.2017 | 14:08:44] PlayerDistToCar: 32.8 | TickCount: 355 | PlayerLevel: 1 | Name: Wellesley_Wild | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[27.04.2017 | 16:26:16] PlayerDistToCar: 34.3 | TickCount: 124 | PlayerLevel: 1 | Name: Vainrachik_Banan | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[27.04.2017 | 18:00:01] PlayerDistToCar: 49.0 | TickCount: 34 | PlayerLevel: 1 | Name: Zek_Par | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[27.04.2017 | 20:22:14] PlayerDistToCar: 149.3 | TickCount: 884 | PlayerLevel: 1 | Name: Oskar_Uzhasayushchiy | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[27.04.2017 | 23:15:35] PlayerDistToCar: 34.7 | TickCount: 405 | PlayerLevel: 1 | Name: Aaron_Martine | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[28.04.2017 | 22:05:13] PlayerDistToCar: 91.3 | TickCount: 187 | PlayerLevel: 1 | Name: Datkha | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[28.04.2017 | 22:58:19] PlayerDistToCar: 1194.1 | TickCount: 98 | PlayerLevel: 7 | Name: Vitalio_Banderos | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[29.04.2017 | 12:42:59] PlayerDistToCar: 159.9 | TickCount: 492 | PlayerLevel: 1 | Name: Sergey_Kotoff | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[29.04.2017 | 17:12:53] PlayerDistToCar: 41.0 | TickCount: 409 | PlayerLevel: 1 | Name: Nestro_Ross | 0.0 -0.0 0.0 | veh 0.0 0.0 0.0
[29.04.2017 | 20:06:24] PlayerDistToCar: 23.7 | TickCount: 68 | PlayerLevel: 1 | Name: Alex_Schturnow | 0.0 0.0 0.0 | veh 0.0 0.0 -0.0
[29.04.2017 | 20:13:43] PlayerDistToCar: 79.3 | TickCount: 63 | PlayerLevel: 1 | Name: Alexey_Krivishin | 0.0 -0.0 0.0 | veh 0.0 0.0 0.0
[30.04.2017 | 01:44:23] PlayerDistToCar: 96.1 | TickCount: 418 | PlayerLevel: 1 | Name: Sanya_Spravedliv | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[30.04.2017 | 03:12:29] PlayerDistToCar: 117.2 | TickCount: 841 | PlayerLevel: 1 | Name: Yatogami_Noragami | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
