[26.04.2017 | 10:04:40] PlayerDistToCar: 1.5 | TickCount: 262 | PlayerLevel: 1 | Name: Ron905 | 0.0 0.0 -0.0 | veh 0.0 0.0 0.0 | OldHP: 940 | NewHP: 0
[26.04.2017 | 10:54:49] PlayerDistToCar: 1.4 | TickCount: 218 | PlayerLevel: 2 | Name: Alexey_Donin | 0.0 0.0 0.0 | veh 0.0 0.0 0.0 | OldHP: 1000 | NewHP: 0
[26.04.2017 | 10:55:41] PlayerDistToCar: 1.4 | TickCount: 283 | PlayerLevel: 2 | Name: Krab_Rakovich | 0.0 0.0 -0.0 | veh 0.0 0.0 0.0 | OldHP: 1000 | NewHP: 0
[26.04.2017 | 10:58:39] PlayerDistToCar: 1.4 | TickCount: 646 | PlayerLevel: 1 | Name: danilmasl2006 | 0.0 0.0 -0.0 | veh 0.0 0.0 0.0 | OldHP: 475 | NewHP: 0
[26.04.2017 | 10:58:47] PlayerDistToCar: 1.4 | TickCount: 215 | PlayerLevel: 1 | Name: Colin_Firth | 0.0 0.0 0.0 | veh 0.0 0.0 0.0 | OldHP: 315 | NewHP: 0
[26.04.2017 | 10:59:33] PlayerDistToCar: 1.4 | TickCount: 283 | PlayerLevel: 2 | Name: Tobster_Dit | 0.0 0.0 0.0 | veh 0.0 0.0 0.0 | OldHP: 606 | NewHP: 0
[26.04.2017 | 15:59:50] PlayerDistToCar: 1.4 | TickCount: 124 | PlayerLevel: 2 | Name: vanek_buxayka | 0.0 0.0 0.0 | veh 0.0 0.0 0.0 | OldHP: 1000 | NewHP: 624
[26.04.2017 | 18:32:27] PlayerDistToCar: 0.6 | TickCount: 852 | PlayerLevel: 1 | Name: Eddi_Valeks | 0.0 0.0 0.0 | veh 0.0 0.0 0.0 | OldHP: 978 | NewHP: 350
[26.04.2017 | 18:43:28] PlayerDistToCar: 0.6 | TickCount: 836 | PlayerLevel: 1 | Name: Eddi_Valeks | -0.0 -0.0 0.0 | veh 0.0 -0.0 -0.0 | OldHP: 992 | NewHP: 350
[26.04.2017 | 18:56:05] PlayerDistToCar: 1.6 | TickCount: 134 | PlayerLevel: 23 | Name: Nikita_Caypen | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4 | OldHP: 734 | NewHP: 350
[26.04.2017 | 20:34:25] PlayerDistToCar: 2.6 | TickCount: 217 | PlayerLevel: 1 | Name: Denhik_Den | 0.0 0.0 0.0 | veh 0.0 0.0 0.0 | OldHP: 1000 | NewHP: 0
[26.04.2017 | 20:34:37] PlayerDistToCar: 1.2 | TickCount: 241 | PlayerLevel: 2 | Name: ANDREJ1800 | 0.0 0.0 0.0 | veh 0.0 0.0 0.0 | OldHP: 1000 | NewHP: 0
[27.04.2017 | 11:11:25] PlayerDistToCar: 19.2 | TickCount: 15 | PlayerLevel: 1 | Name: Kristina_Solnce | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4 | OldHP: 946 | NewHP: 350
[27.04.2017 | 15:15:08] PlayerDistToCar: 8.2 | TickCount: 126 | PlayerLevel: 1 | Name: Ramzan_Kadirov | 0.0 0.0 0.0 | veh 0.0 0.0 0.0 | OldHP: 868 | NewHP: 350
[28.04.2017 | 20:32:56] PlayerDistToCar: 18.4 | TickCount: 219 | PlayerLevel: 1 | Name: Kostya_Wodpeker | 0.0 0.0 0.0 | veh 0.0 0.0 0.0 | OldHP: 1000 | NewHP: 350
[1.05.2017 | 13:24:43] PlayerDistToCar: 7.9 | TickCount: 46 | PlayerLevel: 1 | Name: Tentaction_Freex | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4 | OldHP: 1000 | NewHP: 350
[1.05.2017 | 14:17:17] PlayerDistToCar: 1.6 | TickCount: 122 | PlayerLevel: 14 | Name: Danil_Falcone | 0.0 0.0 0.0 | veh 0.0 -0.0 0.1 | OldHP: 897 | NewHP: 350
[1.05.2017 | 14:51:11] PlayerDistToCar: 13.3 | TickCount: 271 | PlayerLevel: 1 | Name: Nikolai_Sobolev | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4 | OldHP: 717 | NewHP: 350
