[25.04.2017 | 20:04:01] WeaponInfo[playerid][30]: 0 | PlayerLevel: 2 | Name: Pavel_Harkiy
[26.04.2017 | 00:01:39] WeaponInfo[playerid][31]: 0 | PlayerLevel: 4 | Name: Osamu_Mikumo
[26.04.2017 | 00:59:50] WeaponInfo[playerid][3]: 0 | PlayerLevel: 4 | Name: Osamu_Mikumo
[26.04.2017 | 12:38:58] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Valera_Bag
[26.04.2017 | 16:24:33] WeaponInfo[playerid][8]: 0 | PlayerLevel: 2 | Name: Riccardo_Kuper
[27.04.2017 | 11:29:09] WeaponInfo[playerid][27]: 0 | PlayerLevel: 1 | Name: Dasha_Blackin
[27.04.2017 | 12:27:40] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Rick_Gontier
[27.04.2017 | 13:00:20] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: Valentyn_Dymnich
[27.04.2017 | 13:52:15] WeaponInfo[playerid][24]: 0 | PlayerLevel: 8 | Name: Yaroslav_William
[27.04.2017 | 14:22:31] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: Stas_Burduk
[27.04.2017 | 14:27:32] WeaponInfo[playerid][3]: 0 | PlayerLevel: 1 | Name: mama_wil
[27.04.2017 | 14:38:20] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Nikki_Nails
[27.04.2017 | 15:52:09] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Richie_Mayer
[27.04.2017 | 16:47:51] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: Billy_Hapson
[27.04.2017 | 17:10:30] WeaponInfo[playerid][31]: 0 | PlayerLevel: 4 | Name: Ivan_Sutkay
[27.04.2017 | 17:55:41] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: Tomm_Findler
[27.04.2017 | 20:16:52] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Ernesto_Cook
[27.04.2017 | 21:45:25] WeaponInfo[playerid][1]: 0 | PlayerLevel: 3 | Name: Zachar_Fox
[27.04.2017 | 21:56:26] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Neo_Moore
[27.04.2017 | 22:40:34] WeaponInfo[playerid][30]: 0 | PlayerLevel: 4 | Name: Sqid_Karwas
[27.04.2017 | 22:58:04] WeaponInfo[playerid][1]: 0 | PlayerLevel: 1 | Name: Sulikaman_RUSS
[28.04.2017 | 00:45:07] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: Niko_Bellik
[28.04.2017 | 02:54:58] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: Tim_Fox
[28.04.2017 | 08:26:26] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Looney_Simens
[28.04.2017 | 12:51:20] WeaponInfo[playerid][24]: 0 | PlayerLevel: 3 | Name: Den_Ground
[28.04.2017 | 13:17:17] WeaponInfo[playerid][31]: 0 | PlayerLevel: 3 | Name: Krab_Rakovich
[28.04.2017 | 14:51:00] WeaponInfo[playerid][31]: 0 | PlayerLevel: 9 | Name: Takiri_Hikami
[28.04.2017 | 16:00:58] WeaponInfo[playerid][31]: 0 | PlayerLevel: 25 | Name: Kirito_Narakame
[28.04.2017 | 16:04:27] WeaponInfo[playerid][24]: 0 | PlayerLevel: 4 | Name: Matthew_White
[28.04.2017 | 16:27:44] WeaponInfo[playerid][30]: 0 | PlayerLevel: 3 | Name: Zachar_Fox
[28.04.2017 | 16:52:21] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Tofik_Screades
[28.04.2017 | 16:54:07] WeaponInfo[playerid][3]: 0 | PlayerLevel: 3 | Name: Maks_Immortal
[28.04.2017 | 16:54:07] WeaponInfo[playerid][3]: 0 | PlayerLevel: 4 | Name: Tofik_Bravo
[28.04.2017 | 17:10:34] WeaponInfo[playerid][22]: 0 | PlayerLevel: 1 | Name: Tony_Tigr
[28.04.2017 | 17:46:38] WeaponInfo[playerid][31]: 0 | PlayerLevel: 5 | Name: Alex_Berg
[28.04.2017 | 17:49:22] WeaponInfo[playerid][27]: 0 | PlayerLevel: 3 | Name: Zachar_Fox
[28.04.2017 | 17:55:42] WeaponInfo[playerid][22]: 0 | PlayerLevel: 1 | Name: Stefani_Diaz
[28.04.2017 | 18:00:23] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: Tony_Coyote
[28.04.2017 | 19:36:04] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Lunick_Deplaze
[28.04.2017 | 19:38:30] WeaponInfo[playerid][24]: 0 | PlayerLevel: 4 | Name: Andrei_Lisitsin
[28.04.2017 | 19:40:53] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Alexsander_Glinov
[28.04.2017 | 19:41:34] WeaponInfo[playerid][24]: 0 | PlayerLevel: 5 | Name: Lunick_Herasima
[28.04.2017 | 19:50:24] WeaponInfo[playerid][24]: 0 | PlayerLevel: 9 | Name: Takiri_Hikami
[28.04.2017 | 20:49:00] WeaponInfo[playerid][1]: 0 | PlayerLevel: 1 | Name: Sana_Chvakanka
[28.04.2017 | 21:40:07] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Alexsander_Glinov
[28.04.2017 | 22:53:01] WeaponInfo[playerid][23]: 0 | PlayerLevel: 1 | Name: Sex_Qeenside
[29.04.2017 | 00:10:47] WeaponInfo[playerid][31]: 0 | PlayerLevel: 4 | Name: Nick_Hale
[29.04.2017 | 01:04:31] WeaponInfo[playerid][30]: 0 | PlayerLevel: 2 | Name: Vasiliiy_Medvedev
[29.04.2017 | 03:35:02] WeaponInfo[playerid][25]: 0 | PlayerLevel: 2 | Name: Semyon_Magamedov
[29.04.2017 | 08:25:24] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Roudin_Roninov
[29.04.2017 | 11:48:03] WeaponInfo[playerid][24]: 0 | PlayerLevel: 3 | Name: Jason_Vorhess
[29.04.2017 | 11:48:09] WeaponInfo[playerid][24]: 0 | PlayerLevel: 3 | Name: Illya_Yushchik
[29.04.2017 | 11:54:39] WeaponInfo[playerid][25]: 0 | PlayerLevel: 1 | Name: Pavel_Bravo
[29.04.2017 | 12:02:07] WeaponInfo[playerid][31]: 0 | PlayerLevel: 5 | Name: Timur_Sorokin
[29.04.2017 | 12:40:31] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Agat_Bonucci
[29.04.2017 | 13:42:06] WeaponInfo[playerid][25]: 0 | PlayerLevel: 6 | Name: William_Prace
[29.04.2017 | 13:43:55] WeaponInfo[playerid][8]: 0 | PlayerLevel: 1 | Name: Franklin_Mccarthy
[29.04.2017 | 14:04:29] WeaponInfo[playerid][43]: 0 | PlayerLevel: 23 | Name: Nikita_Caypen
[29.04.2017 | 14:17:16] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Daniel_Camillo
[29.04.2017 | 15:00:59] WeaponInfo[playerid][31]: 0 | PlayerLevel: 2 | Name: Niko_Nazar
[29.04.2017 | 15:49:36] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Rommy_Aguero
[29.04.2017 | 16:07:20] WeaponInfo[playerid][9]: 0 | PlayerLevel: 4 | Name: Vitalya_Golovin
[29.04.2017 | 19:03:03] WeaponInfo[playerid][34]: 0 | PlayerLevel: 7 | Name: Vitalio_Banderos
[29.04.2017 | 19:50:55] WeaponInfo[playerid][8]: 0 | PlayerLevel: 1 | Name: Danny_Archer
