[25.04.2017 | 05:19:40] Pos: 1257.5, -1725.9, 42.8 | OldPos: 1292.2, -1731.6 | OldOldPos: 1319.0, -1735.3 | PlayerLevel: 1 | Name: Clash_Keat | Ping: 82 | Warnings: 0
[25.04.2017 | 06:05:09] Pos: -933.1, -1705.2, 122.8 | OldPos: -965.7, -1719.8 | OldOldPos: -996.3, -1724.4 | PlayerLevel: 1 | Name: Emelin_Cubes | Ping: 132 | Warnings: 3
[25.04.2017 | 09:27:42] Pos: -1024.9, -1267.1, 130.1 | OldPos: -1026.2, -1199.8 | OldOldPos: -1026.2, -1199.8 | PlayerLevel: 1 | Name: Rick_Kelton | Ping: 82 | Warnings: 0
[25.04.2017 | 09:44:07] Pos: 2231.1, -2285.3, 11.8 | OldPos: -1014.4, -1223.5 | OldOldPos: -1014.4, -1223.5 | PlayerLevel: 1 | Name: Rick_Kelton | Ping: 77 | Warnings: 0
[25.04.2017 | 11:50:40] Pos: -764.7, -2122.0, 1610.2 | OldPos: 1884.7, -2049.3 | OldOldPos: 1884.7, -2049.3 | PlayerLevel: 6 | Name: Jackson_Marlboro | Ping: 68 | Warnings: 0
[25.04.2017 | 11:58:30] Pos: 1362.8, -1730.0, 13.3 | OldPos: 1403.3, -1721.9 | OldOldPos: 1427.1, -1727.2 | PlayerLevel: 1 | Name: Egor_Gondon | Ping: 83 | Warnings: 0
[25.04.2017 | 12:33:18] Pos: 0.0, 0.0, 0.0 | OldPos: -1025.1, -1306.8 | OldOldPos: -1012.7, -1250.7 | PlayerLevel: 1 | Name: Sergey_Brody | Ping: 104 | Warnings: 3
[25.04.2017 | 12:36:50] Pos: 0.0, 0.0, 0.0 | OldPos: 2168.4, -2255.5 | OldOldPos: 2222.3, -2279.7 | PlayerLevel: 1 | Name: Sergey_Vvedenskiy | Ping: 103 | Warnings: 3
[25.04.2017 | 12:39:09] Pos: 0.0, 0.0, 0.0 | OldPos: -1027.1, -1232.2 | OldOldPos: -1002.8, -1246.9 | PlayerLevel: 1 | Name: Konor_Jonor | Ping: 99 | Warnings: 0
[25.04.2017 | 12:59:09] Pos: 1002.1, -1688.8, 57.8 | OldPos: 1035.3, -1696.6 | OldOldPos: 1058.2, -1703.1 | PlayerLevel: 1 | Name: Alex_Ramzesso | Ping: 93 | Warnings: 0
[25.04.2017 | 14:30:00] Pos: -1025.1, -1306.8, 129.7 | OldPos: -1051.5, -1227.5 | OldOldPos: -1051.5, -1227.5 | PlayerLevel: 1 | Name: James_Torreto | Ping: 77 | Warnings: 0
[25.04.2017 | 14:44:07] Pos: 2230.3, -2285.9, 14.3 | OldPos: 2202.5, -2253.9 | OldOldPos: 2202.5, -2253.9 | PlayerLevel: 2 | Name: andrey_pokalyuk | Ping: 73 | Warnings: 0
[25.04.2017 | 15:27:43] Pos: 1950.6, -2119.2, 13.5 | OldPos: 1942.0, -2090.1 | OldOldPos: 1933.7, -2062.3 | PlayerLevel: 1 | Name: Dario_Barbara | Ping: 67 | Warnings: 0
[25.04.2017 | 15:31:21] Pos: 1731.2, -1818.0, 13.3 | OldPos: 1771.3, -1900.7 | OldOldPos: 1771.3, -1900.7 | PlayerLevel: 1 | Name: Dima_Guvenko | Ping: 52 | Warnings: 0
[25.04.2017 | 16:29:49] Pos: 1112.9, -1698.4, 19.5 | OldPos: 1145.6, -1705.6 | OldOldPos: 1145.6, -1705.6 | PlayerLevel: 1 | Name: LeoneI_Messi | Ping: 96 | Warnings: 0
[25.04.2017 | 16:30:46] Pos: -839.1, -2086.4, 1609.3 | OldPos: 1112.9, -1698.4 | OldOldPos: 1145.6, -1705.6 | PlayerLevel: 1 | Name: LeoneI_Messi | Ping: 91 | Warnings: 0
[25.04.2017 | 16:54:19] Pos: 1653.8, -1636.6, -50.0 | OldPos: 1717.8, -1699.9 | OldOldPos: 1717.8, -1699.9 | PlayerLevel: 1 | Name: Volodya_Danyliv | Ping: 63 | Warnings: 0
[25.04.2017 | 18:25:30] Pos: 880.9, -1768.5, 13.3 | OldPos: 812.8, -1796.6 | OldOldPos: 812.7, -1796.7 | PlayerLevel: 1 | Name: Filizin_White | Ping: 94 | Warnings: 0
[25.04.2017 | 19:19:20] Pos: 1673.2, -1924.5, 42.9 | OldPos: 1724.7, -1888.8 | OldOldPos: 1789.6, -1896.2 | PlayerLevel: 1 | Name: Misat_Vor | Ping: 84 | Warnings: 0
[25.04.2017 | 19:26:32] Pos: -1156.5, -1064.4, 129.2 | OldPos: -1118.4, -1110.6 | OldOldPos: -1067.4, -1172.4 | PlayerLevel: 1 | Name: Matilbda_Medvedev | Ping: 119 | Warnings: 3
