[25.04.2017 | 10:06:17] Position: -353.904, -868.782, 52.422 | Velocity: 1.123, -0.007, 0.110 | PlayerLevel: 1 | Name: Ivan_Maksimovich
[25.04.2017 | 15:10:42] Position: 57.270, -1041.253, -0.330 | Velocity: -0.073, -0.152, -0.007 | PlayerLevel: 2 | Name: anton_shevtsov
[25.04.2017 | 20:09:43] Position: -1724.320, -165.339, -0.125 | Velocity: -0.116, -0.128, 0.004 | PlayerLevel: 2 | Name: Jack_Vorobushek
[26.04.2017 | 02:20:46] Position: 1787.691, -1892.331, 15.112 | Velocity: 0.181, 0.005, 0.008 | PlayerLevel: 1 | Name: Antonio_Freeman
[26.04.2017 | 08:53:08] Position: 118.437, -1921.137, -0.486 | Velocity: -0.167, 0.029, 0.013 | PlayerLevel: 1 | Name: Kent_Nash
[26.04.2017 | 20:00:42] Position: -1700.219, -140.395, 0.145 | Velocity: 0.139, 0.098, 0.002 | PlayerLevel: 1 | Name: Jony_Smith
[27.04.2017 | 12:54:22] Position: -1453.416, 494.409, -0.075 | Velocity: 0.161, 0.045, -0.005 | PlayerLevel: 4 | Name: Simon_Riley
[27.04.2017 | 13:51:20] Position: 598.070, -1923.283, -0.581 | Velocity: -0.313, 0.048, -0.004 | PlayerLevel: 1 | Name: kaxa_sirko
[27.04.2017 | 15:37:40] Position: -1410.566, -740.537, -0.349 | Velocity: -0.169, 0.027, 0.000 | PlayerLevel: 4 | Name: Osamu_Mikumo
[27.04.2017 | 15:52:30] Position: -1730.571, -176.149, -0.213 | Velocity: -0.130, -0.121, -0.000 | PlayerLevel: 1 | Name: Vili_Opetin
[27.04.2017 | 17:55:44] Position: -1340.889, 425.450, -0.340 | Velocity: -0.178, -0.076, 0.000 | PlayerLevel: 4 | Name: Nick_Hale
[27.04.2017 | 20:31:28] Position: -1419.336, 485.078, -0.401 | Velocity: -0.177, 0.005, -0.001 | PlayerLevel: 5 | Name: Larry_Jeblonski
[28.04.2017 | 03:15:47] Position: -1137.387, 33.681, -0.211 | Velocity: -0.147, 0.095, 0.006 | PlayerLevel: 1 | Name: Kvain_Konami
[28.04.2017 | 09:04:04] Position: -1275.237, -1898.435, -0.191 | Velocity: -0.164, -0.033, 0.000 | PlayerLevel: 2 | Name: Looney_Simens
[28.04.2017 | 15:24:07] Position: 72.827, -1004.927, -0.074 | Velocity: -0.000, 0.000, 0.189 | PlayerLevel: 1 | Name: Melner_Colt
[28.04.2017 | 16:27:51] Position: -1517.511, 580.677, 0.091 | Velocity: 0.094, 0.223, -0.003 | PlayerLevel: 3 | Name: Jason_Vorhess
[28.04.2017 | 19:48:29] Position: -695.960, 461.636, -0.125 | Velocity: -0.047, 0.165, 0.009 | PlayerLevel: 5 | Name: Larry_Jeblonski
[29.04.2017 | 10:23:39] Position: -2716.245, -501.519, 2.363 | Velocity: -0.016, -0.218, -0.009 | PlayerLevel: 3 | Name: Jason_Vorhess
[29.04.2017 | 11:55:29] Position: -2331.458, 1562.566, -0.404 | Velocity: 0.189, -0.043, 0.000 | PlayerLevel: 2 | Name: Aiko_Hugo
[29.04.2017 | 12:04:20] Position: -380.245, -1466.245, 55.296 | Velocity: -2.214, 0.888, 0.266 | PlayerLevel: 2 | Name: Vasiliiy_Medvedev
[29.04.2017 | 13:14:43] Position: 1080.537, -1855.770, 13.578 | Velocity: -0.426, -0.002, -0.274 | PlayerLevel: 1 | Name: Matumba_Medvedev
[29.04.2017 | 14:51:22] Position: 1784.590, -1304.527, 15.507 | Velocity: -0.149, 0.096, 0.115 | PlayerLevel: 3 | Name: Igor_Sendik
[29.04.2017 | 21:09:35] Position: -2476.366, 1560.012, 22.558 | Velocity: -0.477, 0.046, 0.159 | PlayerLevel: 1 | Name: Logos_Corleone
[29.04.2017 | 21:22:51] Position: -1524.438, 598.791, -0.149 | Velocity: 0.099, 0.163, -0.005 | PlayerLevel: 3 | Name: Illya_Yushchik
[29.04.2017 | 21:28:10] Position: 1818.906, -1868.899, 14.339 | Velocity: -0.012, 0.253, 0.081 | PlayerLevel: 1 | Name: Karamele_Blemba
[29.04.2017 | 22:53:10] Position: 733.506, -1743.532, -0.221 | Velocity: -0.179, 0.063, -0.000 | PlayerLevel: 3 | Name: Angela_Geroons
[29.04.2017 | 22:56:01] Position: 590.558, -1922.855, -0.839 | Velocity: 0.100, 0.283, 0.060 | PlayerLevel: 1 | Name: Orlando_Corleone
