[25.04.2017 | 16:05:38] Position: -1761.694, -548.247, -9.502 | Velocity: -0.012, 0.089, 0.087 | PlayerLevel: 3 | Name: Dredd_Morris
[26.04.2017 | 03:20:12] Position: 718.302, -1841.244, -4.894 | Velocity: -0.091, 0.094, 0.029 | PlayerLevel: 1 | Name: marsale228
[26.04.2017 | 18:35:08] Position: 1766.865, -1899.306, 20.521 | Velocity: -0.097, -0.021, -0.015 | PlayerLevel: 1 | Name: Lizmo_Casro
[26.04.2017 | 18:45:17] Position: 1618.818, -151.493, -0.572 | Velocity: 0.000, 0.000, 0.108 | PlayerLevel: 21 | Name: Proni_Corsetti
[26.04.2017 | 20:12:16] Position: -1665.275, -713.668, -2.839 | Velocity: 0.015, -0.039, 0.096 | PlayerLevel: 1 | Name: BodilNext
[27.04.2017 | 16:10:06] Position: 835.043, -2091.785, -2.448 | Velocity: -0.004, -0.086, -0.073 | PlayerLevel: 1 | Name: Trash_Fynder
[28.04.2017 | 22:02:43] Position: -1211.672, -589.561, -4.554 | Velocity: 0.079, -0.064, -0.018 | PlayerLevel: 1 | Name: Moran_Gams
[29.04.2017 | 15:19:17] Position: 2171.824, 172.492, -1.750 | Velocity: -0.067, 0.028, 0.085 | PlayerLevel: 1 | Name: Roma_Xasket
[29.04.2017 | 18:11:29] Position: 1876.287, 1544.061, 7.203 | Velocity: 0.093, -0.064, 0.000 | PlayerLevel: 3 | Name: Bob_Fast
[30.04.2017 | 10:27:55] Position: 1611.633, -20.756, -4.428 | Velocity: 0.018, -0.086, -0.081 | PlayerLevel: 4 | Name: Jack_Diaz
[30.04.2017 | 17:30:49] Position: -1475.440, 723.868, -2.144 | Velocity: 0.007, -0.054, 0.097 | PlayerLevel: 16 | Name: Frank_Even
[30.04.2017 | 18:43:05] Position: -1217.189, -621.608, -2.940 | Velocity: 0.114, -0.030, -0.028 | PlayerLevel: 16 | Name: Frank_Even
[30.04.2017 | 19:49:34] Position: 118.541, -1926.191, -0.391 | Velocity: 0.000, 0.000, 0.100 | PlayerLevel: 10 | Name: Denis_Skif
[1.05.2017 | 19:57:08] Position: 394.505, -2005.471, -0.884 | Velocity: -0.000, 0.000, 0.106 | PlayerLevel: 3 | Name: Tony_Smitt
[1.05.2017 | 22:54:38] Position: -1348.774, 431.623, -4.115 | Velocity: -0.078, 0.027, -0.059 | PlayerLevel: 8 | Name: Tanaka_Hugo
[4.05.2017 | 12:19:08] Position: 1774.692, -1900.813, 19.102 | Velocity: 0.273, -0.122, -0.008 | PlayerLevel: 1 | Name: Save_Show
[4.05.2017 | 15:40:49] Position: 712.095, -1896.849, -3.028 | Velocity: 0.012, -0.095, 0.026 | PlayerLevel: 1 | Name: Abdul_Alhajjar
[4.05.2017 | 15:52:20] Position: 712.444, -1917.607, -0.501 | Velocity: 0.026, -0.116, -0.004 | PlayerLevel: 1 | Name: Abdul_Alhajjar
[4.05.2017 | 17:53:43] Position: 860.494, -2063.122, -0.651 | Velocity: 0.000, 0.000, 0.100 | PlayerLevel: 2 | Name: Alina_Simmons
[4.05.2017 | 19:27:11] Position: 2567.575, -2487.765, -2.242 | Velocity: -0.103, -0.059, -0.070 | PlayerLevel: 2 | Name: Vladislav_Pozitiv
[5.05.2017 | 10:50:09] Position: 1370.945, -1573.246, 19.613 | Velocity: -0.054, 0.292, 0.073 | PlayerLevel: 1 | Name: Save_Showw
[5.05.2017 | 11:27:51] Position: -1932.625, -547.127, 39.507 | Velocity: -0.271, 0.126, -0.006 | PlayerLevel: 1 | Name: Tygarin_Zmeu
[5.05.2017 | 16:29:28] Position: 3032.429, -1920.656, 0.473 | Velocity: -0.000, 0.000, 0.104 | PlayerLevel: 3 | Name: Sasha_Pusarenko
