[25.04.2017 | 10:34:21] Position: 1633.492, -1704.493, 14.334 | Velocity: 0.007, -90.006, 0.099 | PlayerLevel: 1 | Name: Ivan_Maksimovich
[25.04.2017 | 14:11:18] Position: 1561.618, -1385.004, 22.544 | Velocity: 5.518, 0.000, 0.000 | PlayerLevel: 1 | Name: Huntler_Black
[25.04.2017 | 15:10:09] Position: 1766.777, -1891.133, 13.560 | Velocity: 3.000, 7.000, 0.000 | PlayerLevel: 1 | Name: Lolka_Lala
[25.04.2017 | 19:39:51] Position: -695.221, -2105.021, 1612.558 | Velocity: -5.953, 3.304, 0.222 | PlayerLevel: 1 | Name: Denis_Grad
[25.04.2017 | 20:34:24] Position: 2037.120, 1008.658, 10.820 | Velocity: 1.000, 6.000, 0.000 | PlayerLevel: 1 | Name: Tomm_Findler
[25.04.2017 | 22:37:37] Position: 1910.207, -1644.439, 27.113 | Velocity: -0.109, 7.588, 0.100 | PlayerLevel: 1 | Name: Jock_Jounnse
[26.04.2017 | 07:44:48] Position: 2851.268, 1229.616, 10.820 | Velocity: 0.000, 20.000, 0.000 | PlayerLevel: 1 | Name: Jocker_Iceland
[26.04.2017 | 10:26:40] Position: 1852.211, -1831.237, 8.591 | Velocity: 16.172, 19.102, 0.000 | PlayerLevel: 1 | Name: Jake_Sucr
[26.04.2017 | 12:53:58] Position: 1782.351, -1893.390, 14.027 | Velocity: 0.000, -50.000, 0.100 | PlayerLevel: 1 | Name: Nick_MacCarket
[26.04.2017 | 13:40:14] Position: 1321.777, -1755.628, 15.828 | Velocity: -0.000, 5.161, 0.000 | PlayerLevel: 1 | Name: Jock_Jounnse
[27.04.2017 | 12:07:14] Position: 1753.496, -1893.185, 13.557 | Velocity: 0.000, 20.000, 0.000 | PlayerLevel: 1 | Name: Anton_Nikolaevic
[27.04.2017 | 14:22:13] Position: 1758.280, -1902.220, 13.564 | Velocity: 0.000, 20.000, 0.000 | PlayerLevel: 1 | Name: koly_odiyak
[28.04.2017 | 15:09:41] Position: 1152.143, -1757.772, 13.750 | Velocity: 49.809, 4.365, 0.100 | PlayerLevel: 1 | Name: Yan_Sucre
[28.04.2017 | 16:09:26] Position: 608.904, -1868.839, 8.439 | Velocity: 5.260, -49.722, 0.100 | PlayerLevel: 1 | Name: Konstantin_Moore
[29.04.2017 | 09:53:47] Position: 1778.776, -1296.454, 21.568 | Velocity: 6.775, 2.786, 0.000 | PlayerLevel: 2 | Name: Leon_Pancho
[29.04.2017 | 11:50:40] Position: 370.864, -1837.021, 7.671 | Velocity: 2.000, 6.000, 0.000 | PlayerLevel: 1 | Name: Vladimir_Morris
[29.04.2017 | 18:29:37] Position: 1726.499, -1815.779, 13.477 | Velocity: -78.239, 16.682, -0.622 | PlayerLevel: 1 | Name: Logos_Corleone
[29.04.2017 | 20:35:21] Position: 1061.913, -1732.514, 13.661 | Velocity: 0.000, 20.000, 0.000 | PlayerLevel: 1 | Name: Alexey_Krivishin
[29.04.2017 | 20:36:38] Position: -855.133, -2094.377, 1615.640 | Velocity: 3.383, -5.378, -0.862 | PlayerLevel: 2 | Name: Sky
[29.04.2017 | 20:40:54] Position: 1768.969, -1894.465, 13.562 | Velocity: 0.000, 20.000, 0.000 | PlayerLevel: 1 | Name: Denial_Pahino
[29.04.2017 | 20:48:20] Position: 388.637, -1825.838, 7.975 | Velocity: 6.000, 5.000, 0.000 | PlayerLevel: 1 | Name: Alex_Schturnow
[29.04.2017 | 23:20:48] Position: 1024.952, -1681.811, 26.354 | Velocity: 0.000, 5.258, -0.000 | PlayerLevel: 2 | Name: Logos_Corleone
