[25.04.2017 | 07:59:20] Pos: 378.5, -1842.2, 8.8 | OldPos: -1875.9, -1679.7 | OldOldPos: -1875.9, -1679.7 | PlayerLevel: 3 | Name: Aveo_Miki | Ping: 66 | Warnings: 0
[25.04.2017 | 09:12:40] Pos: -2877.4, -735.5, 7.1 | OldPos: -2871.5, -670.6 | OldOldPos: -2871.1, -668.0 | PlayerLevel: 4 | Name: Mystical_Squirt | Ping: 93 | Warnings: 0
[25.04.2017 | 12:59:18] Pos: -261.5, -889.7, 44.9 | OldPos: -211.1, -919.8 | OldOldPos: -209.7, -920.6 | PlayerLevel: 2 | Name: Artem_Murashko | Ping: 83 | Warnings: 0
[25.04.2017 | 13:43:21] Pos: 991.5, 1141.4, 66.0 | OldPos: 1049.8, 1107.6 | OldOldPos: 1051.3, 1106.8 | PlayerLevel: 12 | Name: Johny_Lance | Ping: 89 | Warnings: 0
[25.04.2017 | 13:45:45] Pos: 1524.8, 2067.8, 10.4 | OldPos: 1525.9, 2108.4 | OldOldPos: 1525.9, 2110.4 | PlayerLevel: 12 | Name: Johny_Lance | Ping: 88 | Warnings: 0
[25.04.2017 | 13:48:40] Pos: 1007.0, 1923.0, 10.4 | OldPos: 1006.7, 1974.1 | OldOldPos: 1006.7, 1975.7 | PlayerLevel: 12 | Name: Johny_Lance | Ping: 82 | Warnings: 0
[25.04.2017 | 13:53:37] Pos: 488.2, -1724.8, 12.0 | OldPos: 1720.0, 1678.2 | OldOldPos: 1719.7, 1678.6 | PlayerLevel: 2 | Name: Jeka_Deccaso | Ping: 73 | Warnings: 0
[25.04.2017 | 15:13:06] Pos: 1727.9, -1893.3, 13.3 | OldPos: 1776.9, -1890.5 | OldOldPos: 1776.9, -1890.5 | PlayerLevel: 1 | Name: Mike_Verona | Ping: 79 | Warnings: 0
[25.04.2017 | 15:13:07] Pos: 1727.8, -1893.3, 13.4 | OldPos: 1790.1, -1905.6 | OldOldPos: 1790.2, -1905.6 | PlayerLevel: 3 | Name: Marta_Marshmello | Ping: 68 | Warnings: 0
[25.04.2017 | 15:17:32] Pos: 1217.9, -1771.0, 13.7 | OldPos: 1200.7, -1834.2 | OldOldPos: 1200.7, -1834.2 | PlayerLevel: 3 | Name: Andrew_Qzxcda | Ping: 88 | Warnings: 0
[25.04.2017 | 15:17:47] Pos: 1217.9, -1771.0, 13.7 | OldPos: 1230.5, -1845.6 | OldOldPos: 1230.5, -1845.6 | PlayerLevel: 3 | Name: Maksim_Dmitrienka | Ping: 82 | Warnings: 0
[25.04.2017 | 15:33:57] Pos: 1825.6, -1886.9, 13.6 | OldPos: 1788.1, -1923.1 | OldOldPos: 1788.1, -1923.1 | PlayerLevel: 1 | Name: Waka_Quinsidezxdxz | Ping: 94 | Warnings: 0
[25.04.2017 | 17:01:19] Pos: 1214.2, -1841.5, 13.5 | OldPos: 1181.1, -1795.3 | OldOldPos: 1181.0, -1796.3 | PlayerLevel: 2 | Name: Anton_Kuleshov | Ping: 62 | Warnings: 0
[25.04.2017 | 18:49:15] Pos: 1186.7, -1277.8, 17.8 | OldPos: 1214.6, -1319.7 | OldOldPos: 1214.5, -1319.9 | PlayerLevel: 1 | Name: Baba_Katya | Ping: 95 | Warnings: 0
[25.04.2017 | 20:55:59] Pos: 1425.4, -1689.6, 13.4 | OldPos: 1424.7, -1637.6 | OldOldPos: 1424.6, -1636.3 | PlayerLevel: 1 | Name: Filizin_White | Ping: 95 | Warnings: 0
[26.04.2017 | 07:06:21] Pos: 1312.4, -1035.7, 29.5 | OldPos: 1352.8, -1271.4 | OldOldPos: 1352.8, -1271.4 | PlayerLevel: 1 | Name: Petr_Smirnovka | Ping: 57 | Warnings: 0
[26.04.2017 | 11:44:55] Pos: 1794.1, -1523.8, 8.2 | OldPos: 1841.8, -1475.9 | OldOldPos: 1841.8, -1475.8 | PlayerLevel: 1 | Name: Egor_Gondon | Ping: 93 | Warnings: 0
[26.04.2017 | 13:00:50] Pos: -1538.2, 447.2, 7.6 | OldPos: -1617.2, 483.8 | OldOldPos: -1617.6, 483.5 | PlayerLevel: 2 | Name: Jeka_Deccaso | Ping: 83 | Warnings: 0
[26.04.2017 | 13:49:58] Pos: 646.0, -1616.1, 14.8 | OldPos: 728.8, -1496.5 | OldOldPos: 722.2, -1436.1 | PlayerLevel: 1 | Name: kotik_kotikon | Ping: 146 | Warnings: 3
[26.04.2017 | 14:27:50] Pos: 1977.9, -1183.8, 26.0 | OldPos: 2082.9, -1203.8 | OldOldPos: 2082.9, -1203.8 | PlayerLevel: 13 | Name: Andy_Normand | Ping: 99 | Warnings: 0
[26.04.2017 | 15:14:09] Pos: 1382.9, -1142.1, 23.2 | OldPos: 1422.4, -1156.1 | OldOldPos: 1425.5, -1156.9 | PlayerLevel: 5 | Name: Dima_Dmitriev | Ping: 76 | Warnings: 0
[26.04.2017 | 15:41:34] Pos: 1723.3, 440.6, 30.7 | OldPos: 1704.5, 388.1 | OldOldPos: 1703.9, 386.3 | PlayerLevel: 13 | Name: Vito_Sweet | Ping: 69 | Warnings: 0
[26.04.2017 | 16:34:37] Pos: 1217.9, -1771.0, 13.3 | OldPos: 1098.7, -1753.9 | OldOldPos: 1098.7, -1753.9 | PlayerLevel: 2 | Name: Alexander_Lekarev | Ping: 90 | Warnings: 0
[26.04.2017 | 16:42:17] Pos: 1223.4, -1158.8, 16.3 | OldPos: 1349.5, -1052.2 | OldOldPos: 1349.5, -1052.2 | PlayerLevel: 2 | Name: Bobby_Raddriges | Ping: 64 | Warnings: 0
[26.04.2017 | 16:55:09] Pos: 299.7, -1689.9, 7.1 | OldPos: 346.6, -1699.5 | OldOldPos: 349.3, -1699.7 | PlayerLevel: 5 | Name: Vladislav_Josan | Ping: 74 | Warnings: 0
[26.04.2017 | 16:59:26] Pos: 1225.2, -1157.3, 23.4 | OldPos: 1114.1, -1240.8 | OldOldPos: 1114.1, -1240.8 | PlayerLevel: 2 | Name: Bobby_Raddriges | Ping: 63 | Warnings: 0
[26.04.2017 | 17:02:18] Pos: 1796.6, -1310.1, 131.5 | OldPos: 1837.8, -1402.6 | OldOldPos: 1837.8, -1402.4 | PlayerLevel: 1 | Name: Raea | Ping: 68 | Warnings: 0
[26.04.2017 | 17:09:00] Pos: -1904.9, 268.5, 41.0 | OldPos: -206.8, -920.7 | OldOldPos: -205.3, -921.7 | PlayerLevel: 2 | Name: Takeshi_Akama | Ping: 86 | Warnings: 0
[26.04.2017 | 17:39:01] Pos: 1182.2, -1782.9, 13.5 | OldPos: 1355.2, -1865.7 | OldOldPos: 1356.8, -1866.1 | PlayerLevel: 1 | Name: Daniel_Haro | Ping: 95 | Warnings: 0
[26.04.2017 | 17:50:29] Pos: -626.4, -395.5, 22.4 | OldPos: -692.0, -416.9 | OldOldPos: -694.0, -417.7 | PlayerLevel: 5 | Name: Vladislav_Josan | Ping: 68 | Warnings: 0
[26.04.2017 | 18:06:06] Pos: 1113.6, -1755.5, 16.5 | OldPos: -1523.7, 701.2 | OldOldPos: -1525.1, 699.7 | PlayerLevel: 1 | Name: Artem_Kylelllov | Ping: 91 | Warnings: 0
[26.04.2017 | 18:24:18] Pos: 2822.5, -1143.1, 15.8 | OldPos: 2750.2, -1146.7 | OldOldPos: 2748.6, -1146.7 | PlayerLevel: 2 | Name: Richi_Casper | Ping: 90 | Warnings: 0
[26.04.2017 | 18:26:05] Pos: 226.1, -1669.5, 11.2 | OldPos: 197.4, -1640.0 | OldOldPos: 195.3, -1637.4 | PlayerLevel: 5 | Name: Vladislav_Josan | Ping: 66 | Warnings: 0
[26.04.2017 | 18:40:51] Pos: 2413.9, -1768.6, 13.1 | OldPos: 2414.6, -1812.2 | OldOldPos: 2414.5, -1814.3 | PlayerLevel: 1 | Name: Fernardo_Bergson | Ping: 80 | Warnings: 0
[26.04.2017 | 19:20:27] Pos: -47.3, 336.2, 44.3 | OldPos: 20.2, 326.9 | OldOldPos: 42.2, 328.4 | PlayerLevel: 3 | Name: Tony_Brown | Ping: 77 | Warnings: 0
[26.04.2017 | 19:25:29] Pos: 1441.0, -1587.8, 20.6 | OldPos: -2747.8, 536.9 | OldOldPos: -2747.8, 536.9 | PlayerLevel: 1 | Name: Diego_Volkin | Ping: 87 | Warnings: 0
[26.04.2017 | 21:59:49] Pos: 1580.2, 1768.9, 10.8 | OldPos: 1825.8, -1845.6 | OldOldPos: 1825.8, -1845.6 | PlayerLevel: 1 | Name: Nikolay_Chistikov | Ping: 69 | Warnings: 0
[26.04.2017 | 22:05:39] Pos: -1184.3, -813.2, 64.9 | OldPos: -1156.5, -842.2 | OldOldPos: -1154.7, -844.0 | PlayerLevel: 1 | Name: Evginy_Map | Ping: 89 | Warnings: 0
[26.04.2017 | 22:40:55] Pos: 1087.4, -1433.2, 13.4 | OldPos: 1050.5, -1476.8 | OldOldPos: 1046.5, -1481.5 | PlayerLevel: 1 | Name: [YT]FILLIN | Ping: 99 | Warnings: 0
[27.04.2017 | 10:51:20] Pos: 1064.0, -1850.8, 12.9 | OldPos: 1146.8, -1852.0 | OldOldPos: 1149.2, -1852.1 | PlayerLevel: 1 | Name: Egor_Medintsev | Ping: 72 | Warnings: 0
[27.04.2017 | 16:50:11] Pos: -1858.5, -1625.8, -78.1 | OldPos: 422.2, -1779.5 | OldOldPos: 422.2, -1779.5 | PlayerLevel: 3 | Name: Dima_Guy_Premium | Ping: 67 | Warnings: 0
[27.04.2017 | 18:25:49] Pos: 1822.9, -1890.0, 13.9 | OldPos: 1913.9, -1932.2 | OldOldPos: 1912.9, -1932.3 | PlayerLevel: 1 | Name: Union_Everest | Ping: 96 | Warnings: 0
[27.04.2017 | 18:44:47] Pos: 1115.1, -1229.9, 16.2 | OldPos: 1207.0, -1221.9 | OldOldPos: 1207.0, -1221.5 | PlayerLevel: 1 | Name: Timofei_Sparkle | Ping: 95 | Warnings: 0
[27.04.2017 | 19:04:10] Pos: 0.0, 0.0, 0.8 | OldPos: 1280.8, -1307.4 | OldOldPos: 1280.8, -1307.4 | PlayerLevel: 1 | Name: Alex_MCFarlane | Ping: 59 | Warnings: 0
[28.04.2017 | 02:02:12] Pos: 1685.2, -1340.4, 158.3 | OldPos: 1785.2, -1298.7 | OldOldPos: 1785.2, -1298.7 | PlayerLevel: 1 | Name: Tim_Fox | Ping: 46 | Warnings: 0
[28.04.2017 | 07:37:20] Pos: 1849.7, -1902.8, 18.7 | OldPos: 1755.6, -1888.7 | OldOldPos: 1755.6, -1888.7 | PlayerLevel: 23 | Name: Nikita_Caypen | Ping: 51 | Warnings: 0
[28.04.2017 | 13:48:07] Pos: 488.2, -1724.8, 12.0 | OldPos: -1676.2, -1640.0 | OldOldPos: -1677.5, -1640.5 | PlayerLevel: 2 | Name: Timofei_Sparkle | Ping: 89 | Warnings: 0
[28.04.2017 | 13:49:52] Pos: 0.0, 0.0, 0.0 | OldPos: -2087.0, -145.7 | OldOldPos: -2087.0, -145.7 | PlayerLevel: 1 | Name: Testoio_Carleto | Ping: 83 | Warnings: 0
