[25.04.2017 | 10:25:38] Pos: 369.2, -1782.4, 9.8 | OldPos: 368.1, -1735.4 | OldOldPos: 367.2, -1719.0 | PlayerLevel: 1 | Name: Jhon_Marakuya | Ping: 72 | Warnings: 0
[25.04.2017 | 11:26:10] Pos: -2001.9, 293.5, 33.8 | OldPos: -2005.6, 218.8 | OldOldPos: -2005.6, 218.8 | PlayerLevel: 9 | Name: Santiago_Dipsize | Ping: 88 | Warnings: 0
[25.04.2017 | 11:28:40] Pos: -2323.7, -69.0, 34.9 | OldPos: -2233.8, -71.3 | OldOldPos: -2233.8, -71.3 | PlayerLevel: 9 | Name: Santiago_Dipsize | Ping: 87 | Warnings: 0
[25.04.2017 | 11:34:17] Pos: -1714.1, 664.7, 24.8 | OldPos: -1723.7, 621.1 | OldOldPos: -1723.7, 621.1 | PlayerLevel: 4 | Name: Jordan_Malboro | Ping: 93 | Warnings: 0
[25.04.2017 | 11:35:52] Pos: -1324.3, -812.1, 74.7 | OldPos: -1375.8, -816.1 | OldOldPos: -1375.8, -816.1 | PlayerLevel: 4 | Name: Jordan_Malboro | Ping: 95 | Warnings: 0
[25.04.2017 | 12:25:55] Pos: -2086.9, -131.8, 35.0 | OldPos: -2076.7, -199.2 | OldOldPos: -2076.7, -199.6 | PlayerLevel: 10 | Name: Genadiy_Xloves | Ping: 83 | Warnings: 0
[25.04.2017 | 12:31:50] Pos: 982.7, -1397.1, 12.5 | OldPos: 1023.9, -1397.3 | OldOldPos: 1023.9, -1397.3 | PlayerLevel: 2 | Name: Santygo_Fabiero | Ping: 57 | Warnings: 0
[25.04.2017 | 13:49:37] Pos: -2086.9, -131.8, 35.0 | OldPos: -2077.0, -199.0 | OldOldPos: -2076.9, -200.1 | PlayerLevel: 1 | Name: Sava_Brain | Ping: 73 | Warnings: 0
[25.04.2017 | 14:04:15] Pos: 1741.7, 1897.8, 10.5 | OldPos: 1166.9, 1726.6 | OldOldPos: 1166.9, 1726.7 | PlayerLevel: 2 | Name: Danil_Mityakov | Ping: 72 | Warnings: 0
[25.04.2017 | 14:58:05] Pos: -2710.0, 75.2, 3.7 | OldPos: -2705.5, 29.6 | OldOldPos: -2705.5, 29.6 | PlayerLevel: 4 | Name: Dante_Castillio | Ping: 83 | Warnings: 0
[25.04.2017 | 14:58:09] Pos: -2704.7, 236.9, 3.7 | OldPos: -2706.1, 167.9 | OldOldPos: -2706.1, 167.9 | PlayerLevel: 4 | Name: Dante_Castillio | Ping: 84 | Warnings: 0
[25.04.2017 | 15:00:14] Pos: -1431.6, 921.6, 6.7 | OldPos: -1423.0, 862.3 | OldOldPos: -1423.0, 862.3 | PlayerLevel: 4 | Name: Dante_Castillio | Ping: 83 | Warnings: 0
[25.04.2017 | 15:12:47] Pos: 1277.0, -1796.3, 13.3 | OldPos: 1204.3, -1849.9 | OldOldPos: 1204.3, -1849.8 | PlayerLevel: 2 | Name: Jack_Vorobushek | Ping: 80 | Warnings: 0
[25.04.2017 | 16:40:16] Pos: 1277.0, -1796.3, 13.3 | OldPos: 7.7, -1519.5 | OldOldPos: 7.7, -1519.5 | PlayerLevel: 1 | Name: Yan_Babich | Ping: 94 | Warnings: 0
[25.04.2017 | 16:40:16] Pos: 1277.0, -1796.3, 13.3 | OldPos: 7.7, -1519.5 | OldOldPos: 7.7, -1519.5 | PlayerLevel: 2 | Name: Alexandr_Karpin | Ping: 84 | Warnings: 0
[25.04.2017 | 17:21:13] Pos: 1277.0, -1805.6, 13.3 | OldPos: -84.7, -1134.3 | OldOldPos: -84.7, -1134.3 | PlayerLevel: 1 | Name: Sasha_Lukashenko | Ping: 65 | Warnings: 0
[25.04.2017 | 17:57:16] Pos: 1716.6, -1442.2, 13.1 | OldPos: 1647.5, -1441.5 | OldOldPos: 1645.0, -1441.5 | PlayerLevel: 2 | Name: Futa_Brodyaga | Ping: 95 | Warnings: 0
[25.04.2017 | 18:47:45] Pos: -2086.9, -131.8, 35.0 | OldPos: -2077.9, -198.8 | OldOldPos: -2077.8, -199.4 | PlayerLevel: 2 | Name: Eiden_Pearce | Ping: 73 | Warnings: 0
